Domain,Having_@_symbol,Having_IP,Path,Prefix_suffix_separation,Protocol,Redirection_//_symbol,Sub_domains,URL_Length,age_domain,dns_record,domain_registration_length,http_tokens,label,statistical_report,tiny_url,web_traffic,nb_dots,nb_qm,nb_and,nb_eq,ratio_digits_url,punycode,domain_in_brand,brand_in_path,suspecious_tld
di15.co.vu,0,0,/css/,0,http,0,0,2,1,1,1,0,1,1,0,0,2,0,0,0,0.13,0,0,0,1
sicredisms.ignitiondomain.com,0,0,/2017/validarclientes/mobi/index.php,0,http,0,2,2,0,0,0,0,1,1,0,2,2,0,0,0,0,0,1,0,0
rajspaces.com,0,0,/EserviceDLAcct/irs/ir/index.html,0,https,0,0,2,1,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0
fb-systemapps.esy.es,0,0,/recovery-chekpoint-login.html,1,http,0,2,2,1,1,1,0,1,1,0,1,2,0,0,0,0,0,1,0,0
signin-activitysupport.helpcenter-supportfraudsignin.com,0,0,/mpp/signin/f341/,1,https,0,0,1,1,1,1,0,1,1,0,1,3,0,0,0,0,0,0,0,0
www.citadelchurchjax.com,0,0,/wp-admin/validateowa/owa/WebAdmin/Outlook%20Web%20App.htm,0,http,0,2,1,0,0,0,0,1,0,1,1,3,0,0,0,0,0,0,0,0
pradochaui.com.br,0,0,/criptografado1/index1.php,0,http,0,2,0,1,0,1,0,1,1,0,1,3,0,0,0,0,0,0,0,0
simnokomun.lt,0,0,/upload/omo/newgd2/newgd/moole/index.php,0,http,0,0,2,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0
di11.co.vu,0,0,/css/,0,http,0,0,2,1,1,1,0,1,1,0,0,2,0,0,0,0.13,0,0,0,1
www.alligator.site,0,0,/wp-content/wall/gallary/fin/,0,http,0,0,2,1,1,1,0,1,1,0,1,2,0,0,0,0,0,0,0,1
tinyurl.com,0,0,/le5tcvf,0,http,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0
tinyurl.com,0,0,/ll59xhm,0,http,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0
tr.im,0,0,/1e0rQ,0,https,0,0,0,1,0,1,0,1,0,1,2,1,0,0,0,0,0,0,0,0
www.gommetermiche.it,0,0,/administrator/modules/auth.att.secure/login.htm,0,https,0,1,1,0,0,1,0,1,1,0,1,2,0,0,0,0,0,0,0,0
indonesianwonderagate.com,0,0,/zee/validate.htm,0,http,0,1,1,0,0,1,0,1,0,1,1,2,0,0,0,0,0,0,0,0
tinyurl.com,0,0,/ll59xhm,0,http,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0
consultafgts.esy.es,0,0,/home,0,http,0,0,0,1,1,1,0,1,1,0,1,2,0,0,0,0,0,1,0,0
www.ultrakoz.com,0,0,/uploads/files/reloadedatt.net.html,0,http,0,1,2,0,0,1,0,1,0,0,1,2,0,0,0,0,0,0,0,0
www.blackabba.com,0,0,/sign-on/yahoo/Y1.html,0,http,0,2,0,2,0,1,0,1,0,0,1,2,0,0,0,0,0,0,0,0
carretroller.com.br,0,0,/sss/image.htm,0,http,0,2,0,1,0,1,0,1,0,0,1,2,0,0,0,0,0,0,0,0
www.mamujutengahkab.go.id,0,0,/terasconfig/www.att.net/,0,https,0,1,2,2,0,2,0,1,0,0,2,3,0,0,0,0,0,0,0,0
sandralucashyde.org,0,0,/login.yahoo/yahoo.com%20[Lastet%20Update]/indexz.html,0,http,0,1,1,0,0,1,0,1,0,0,1,2,0,0,0,0,0,0,0,0
extratoinativos.com,0,0,/Inativos/,0,http,0,0,0,0,0,1,0,1,1,0,1,2,0,0,0,0,0,0,0,0
consultar-fgts.com,0,0,/1index.php,1,http,0,0,0,0,0,1,0,1,1,0,1,2,0,0,0,0,0,1,0,0
portal-consultafgts.com,0,0,/caixa.gov.br/pages/inter/index.php,1,http,0,1,2,0,0,1,0,1,1,0,1,2,0,0,0,0,0,1,0,0
ni1232966-3.web20.nitrado.hosting,0,0,/finance/fnce/,1,http,0,2,2,1,1,1,0,1,0,0,2,3,0,0,0,0.25,0,0,0,0
fgtsliberacao.com,0,0,/processa.php,0,http,0,0,0,0,0,1,0,1,1,0,1,2,0,0,0,0,0,1,0,0
jokextreme.com,0,0,/irs.return/Payment%20Lookup.html,0,https,0,2,2,1,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0
fb-safetyhelp.esy.es,0,0,/recovery-chekpoint-login.html,1,http,0,2,2,1,1,1,0,1,1,0,1,2,0,0,0,0,0,1,0,0
fb-securitypolicy101inc.esy.es,0,0,/recovery-chekpoint-login.html,1,http,0,2,2,1,1,1,0,1,1,0,1,2,0,0,0,0,0,1,0,0
fb-securityaccountlogincheck808.esy.es,0,0,/recovery-chekpoint-login.html,1,http,0,2,2,1,1,1,0,1,1,0,1,2,0,0,0,0.1,0,1,0,0
laghaimrevolution.com,0,0,/sign-on/yahoo/Y1.html,0,http,0,0,0,0,0,1,0,1,0,0,1,2,0,0,0,0,0,0,0,0
settings-acct024631.esy.es,0,0,/recovery-chekpoint-login.html,1,http,0,2,2,1,0,1,0,1,1,0,1,2,0,0,0,0.25,0,0,0,0
horizongarments.com,0,0,/Asher/image.htm,0,http,0,0,0,2,0,2,0,1,0,0,1,2,0,0,0,0,0,0,0,0
shittyurl.org,0,0,/5u,0,http,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0
ni1232966-4.web16.nitrado.hosting,0,0,/ye/cmbr/,1,http,0,2,0,1,1,1,0,1,0,0,2,3,0,0,0,0.25,0,0,0,0
system-support-il.hol.es,0,0,/facebook-security,1,http,0,0,0,1,0,1,0,1,1,0,1,3,0,0,0,0,0,0,0,0
ow.ly,0,0,/IIzC30bBG3c,0,http,0,0,0,1,0,1,0,1,1,1,2,1,0,0,0,0,0,0,0,0
caixaservicosonline.epizy.com,0,0,,0,http,0,0,0,1,0,2,0,1,0,0,0,2,0,0,0,0,0,1,0,0
sandralucashyde.org,0,0,/login.yahoo/yahoo.com%20%5BLastet%20Update%5D/indexz.html,0,http,0,1,1,0,0,1,0,1,0,0,1,2,0,0,0,0,0,0,0,0
anniey06l5.myjino.ru,1,0,/byte/Cookies/Cookies/Pelewura/onlineverifica@tion/Preview.htm,0,http,0,2,1,0,0,1,0,1,1,0,1,2,0,0,0,0.14,0,0,0,0
www.supportt-team.com,0,0,/Confirmed/MyAccount/,1,http,0,0,0,0,0,1,0,1,1,0,1,3,0,0,0,0,0,0,0,0
forms.zohopublic.com,0,0,/koogee/form/ACTIVATIONFORM/formperma/g51Bb2g53DaChBA4be0h2kCA_,0,https,0,0,1,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0
www.surveybuilder.com,0,0,/s/oFh4R/nav,0,https,0,0,0,2,0,2,0,1,0,0,2,2,0,0,0,0,0,0,0,0
a.doko.moe,0,0,/vschbi.html,0,https,0,2,0,2,0,1,0,1,0,0,2,2,0,0,0,0,0,0,0,0
forms.zohopublic.com,0,0,/foolieax/form/VERIFICATIONFROM/formperma/hg_466jHhCK6_6D61K5AC9eA4,0,https,0,0,1,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0
muththamizh.com,0,0,/llc/production-llc/,0,http,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0
cortazarurdaneta.com,0,0,/chn/5adfd99cf03b06771d81f8b5607f1d7e/,0,http,0,0,2,0,0,1,0,1,0,0,1,2,0,0,0,0,0,0,0,0
chasebankusa.paradisepaymentgold.com,0,0,/verification/M2908D716C8M54904AC8/card.php,0,http,0,2,1,1,1,1,0,1,1,0,1,2,0,0,0,0,0,1,0,0
briut.fruitfuldemo.com,0,0,/,0,http,0,0,0,0,0,1,0,1,0,0,1,2,0,0,0,0,0,0,0,0
afraniorodriguezrosero.com,0,0,/wp-admin/themes/pdf/,0,http,0,0,2,1,1,1,0,1,1,0,1,2,0,0,0,0,0,0,0,0
recovery-account-fb.hol.es,0,0,/facebook-support,1,http,0,0,1,1,0,1,0,1,1,0,1,3,0,0,0,0,0,1,0,0
verification-members.net,0,0,/webapps/3db39/,1,https,0,0,0,1,1,1,0,1,1,0,1,2,0,0,0,0,0,0,0,0
rajspaces.com,0,0,/upload/EserviceDLAcct/irs/ir/index.html,0,https,0,0,2,1,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0
promocao-sicoob.cf,0,0,,1,http,0,0,0,1,0,1,0,1,1,0,1,2,0,0,0,0,0,1,0,1
secure-fbpages-notification.com,0,0,/,1,https,0,0,0,1,1,1,0,1,1,0,1,3,0,0,0,0,0,1,0,0
olcmeapp.com,0,0,/mko/image.htm,0,https,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0
support-110048480a.esy.es,0,0,/security.page/,1,http,0,2,0,1,0,1,0,1,1,0,1,2,0,0,0,0.3,0,0,0,0
lesaventuriersvoyageurs.com,0,0,/js/paypal-account-confirm,0,http,0,0,2,2,0,2,0,1,0,0,1,2,0,0,0,0,0,0,0,0
restauracjagreenpepper.pl,0,0,//payment/payment/index.php,0,http,1,0,2,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0
scs-network.com,0,0,/umpi/eba.html,1,http,0,0,0,0,0,0,0,1,0,0,2,2,0,0,0,0,0,0,0,0
redux.news,0,0,/chase/update/,0,https,0,0,0,1,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0
cmfidouala.org,0,0,/jsdhkjhjdf/cgi-bin/image.htm,0,http,0,0,0,2,0,2,0,1,0,0,1,2,0,0,0,0,0,0,0,0
olcmeapp.com,0,0,/lol/image.htm,0,https,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0
livewellprojects.com,0,0,/bay/T/Y1.html,0,http,0,0,0,0,0,1,0,1,0,0,1,2,0,0,0,0,0,0,0,0
attnethelp.webnode.com,0,0,,0,http,0,0,0,2,0,0,0,1,0,0,1,2,0,0,0,0,0,1,0,0
tinyurl.com,0,0,/kvuukxs,0,https,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0
ridinghouseindia.com,0,0,/ywhl/Y%20index.html,0,http,0,0,0,0,0,1,0,1,0,0,1,2,0,0,0,0,0,0,0,0
amethystia.com,0,0,/T/Y1.html,0,http,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0
paialowereasterncherokeenationsc.com,0,0,/aaaaa/login.htm,0,http,0,0,2,2,0,2,0,1,0,0,1,2,0,0,0,0,0,0,0,0
cover-acct06437.esy.es,0,0,/recovery-chekpoint-login.html,1,http,0,2,2,1,0,1,0,1,1,0,1,2,0,0,0,0.2,0,0,0,0
www.aharsntenetsrelsioncustomizedia.com,0,0,/domain/indexx.htm,0,http,0,2,2,1,1,1,0,1,1,0,1,2,0,0,0,0,0,0,0,0
safety-acct-003342.esy.es,0,0,/recovery-chekpoint-login.html,1,http,0,2,2,1,0,1,0,1,1,0,1,3,0,0,0,0.25,0,0,0,0
dressesmela.com,0,0,//kmd/image.htm,0,http,1,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0
www.sicredisic.com.br,0,0,,0,http,0,2,0,1,0,1,0,1,1,0,1,3,0,0,0,0,0,1,0,0
31.220.111.56,0,1,/asdq12/,0,http,0,2,0,1,0,1,0,1,0,0,1,3,0,0,0,1,0,0,0,0
kuswanto.co.id,0,0,/wp-includes/cs/Indexxatt.htm,0,http,0,2,0,1,1,1,0,1,1,0,1,2,0,0,0,0,0,0,0,0
formcrafts.com,0,0,/a/valaccount,0,https,0,0,0,0,0,1,0,1,0,0,2,1,0,0,0,0,0,0,0,0
mattewfisher1.000webhostapp.com,0,0,/sal/YAH%21%21./ya2/index.php,0,https,0,1,2,0,0,0,0,1,0,0,0,2,0,0,0,0.09,0,0,0,0
www.singandvoice.com,0,0,/10405.php,0,http,0,2,0,1,1,1,0,1,1,0,1,2,0,0,0,0,0,0,0,0
www.sententia.com.ar,0,0,/PayPal/get_started/,0,http,0,2,0,1,1,1,0,1,0,0,1,3,0,0,0,0,0,0,0,0
149.56.201.163,0,1,/nis-card/,0,http,0,2,0,1,1,1,0,1,0,0,1,3,0,0,0,1,0,0,0,0
web-designing-india.org,0,0,/dpbx/dpbx/index.php,1,http,0,0,0,2,0,1,0,1,0,0,1,3,0,0,0,0,0,0,0,0
54.157.20.99,0,1,/principal.php,0,http,0,1,0,1,1,1,0,1,0,0,1,3,0,0,0,1,0,0,0,0
www.sea.com.sa,0,0,/images/filetypes/bankofamericam.com.8789373899383mins.rmsmrr/index,0,http,0,1,1,1,0,1,0,1,0,0,2,3,0,0,0,0,0,0,0,0
zogheb.com,0,0,/tooo/index_1.html,0,http,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0
fgtscontasinativas.online,0,0,/home,0,http,0,0,0,1,1,1,0,1,1,0,1,2,0,0,0,0,0,1,0,0
consultasinvativasfgts.com,0,0,/processa.php,0,http,0,0,0,1,1,1,0,1,1,0,1,3,0,0,0,0,0,1,0,0
extratofgtsonline.com,0,0,/1index.php,0,http,0,0,0,0,0,1,0,1,1,0,1,2,0,0,0,0,0,1,0,0
store2.apple.ch.email-forwarding.webstore.websis.info,0,0,/sp/79900b0f5b721ddb89396e71eb7fad41/infos.html,1,http,0,1,1,0,0,1,0,1,1,0,1,5,0,0,0,0,0,1,0,0
www.citadelchurchjax.com,0,0,/wp-admin/data/owa/WebAdmin/Outlook%20Web%20App.htm,0,http,0,2,1,0,0,0,0,1,0,1,1,3,0,0,0,0,0,0,0,0
peloclub.com,0,0,/onlinepdffiles/Adobe/Adobe/property/adobe/index.html,0,http,0,0,2,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0
www.innovi.cc,0,0,/tos/script/mail.htm,0,https,0,2,1,2,0,2,0,1,0,0,1,2,0,0,0,0,0,0,0,1
www.momsweetmoms.com,0,0,/demo2/Dropbox/Dropbox/,0,http,0,0,0,0,0,1,0,1,0,0,2,2,0,0,0,0,0,0,0,0
www.samanesang.com,0,0,/wp-content/themes/PDF/PDF/login.htm,0,http,0,2,2,1,1,1,0,1,1,0,1,2,0,0,0,0,0,0,0,0
store2.apple.ch.email-forwarding.webstore.websis.info,0,0,/de/,1,http,0,1,2,0,0,1,0,1,1,0,1,5,0,0,0,0,0,1,0,0
suisscards-ch.elecapponline.net,0,0,/ch-de/suisse/,1,http,0,0,0,1,1,1,0,1,1,0,1,3,0,0,0,0,0,0,0,0
store2.apple.ch.email-forwarding.webstore.websis.info,0,0,/sp/,1,http,0,1,2,0,0,1,0,1,1,0,1,5,0,0,0,0,0,1,0,0
asa-direct.ru,0,0,/bitrix/updates/servi/fr/doss/,1,http,0,0,0,0,0,1,0,1,0,0,2,2,0,0,0,0,0,0,0,0
pascasarjana.uniba-bpn.ac.id,0,0,/administrator/components/com_joomlaupdate/redire.html,1,http,0,1,1,2,0,2,0,1,0,0,2,4,0,0,0,0,0,0,0,0
hb.redllink.com,0,0,/.ars/empresas/login.htm,0,http,0,1,0,1,1,1,0,1,1,0,1,2,0,0,0,0,0,0,0,0
hb.redllink.com,0,0,/.ars/empresas/login.htm,0,http,0,1,2,1,1,1,0,1,1,0,1,2,0,0,0,0,0,0,0,0
xenangdaiduong.com.vn,0,0,/wp-config/Sign/,0,http,0,0,0,1,1,1,0,1,0,0,1,2,0,0,0,0,0,0,0,0
tizianabeauty.ch,0,0,/wp-content/plugins/Manage/ar4d65/checking/check/Support/ID-NUMB389/myaccount/signin/,0,http,0,0,1,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0
zemindar.lt,0,0,/wp-content/languages/dpbx/index.php,0,http,0,0,2,1,0,1,0,1,0,0,2,1,0,0,0,0,0,0,0,0
www.crielv.com.br,0,0,/images/start2.php,0,http,0,1,0,1,0,1,0,1,0,0,1,3,0,0,0,0,0,0,0,0
www.sagittariusglobal.com,0,0,//portal/cache/Cielo/ambiente-seguro.php,0,http,1,2,2,0,0,1,0,1,0,0,1,2,0,0,0,0,0,0,0,0
